사업장명,좌표정보(X),좌표정보(Y)
참토우,211930.2276,447447.0989
전주식당,212235.5241,448443.9415
성내식당,210960.4446,448160.8286
60계치킨 서울성내점,211905.5953,447454.7479
해촌식당,211792.9494,446975.4894
투다리,212705.4884,447969.8209
로타참치,212004.6141,448123.8925
징기스칸양념치킨,215026.0523,449404.523
만석바지락칼국수,212519.9992,450006.4782
봉구통닭,211078.3234,448580.7277
산골닭갈비,212597.6273,449960.0173
강원감자국,212120.3997,448126.5822
완도집,212680.9037,448720.8104
제주깜돈,210898.7795,447410.9875
무아지돈,211167.4334,449580.7882
상일포차,215007.7618,449368.117
피자헛 암사점,211936.1242,450260.9752
수줍은 삼계탕,215179.9008,449678.2829
쏘자토스트,211820.7508,447072.3014
와요,211032.9951,448217.1768
성내갈비,211509.6677,447302.4092
동네닭발포차,211236.1348,447863.442
모아분식,212700.3161,448138.4015
페리카나치킨,212480.5317,448427.8744
아이스베리,211152.0597,448493.5255
성내각,211279.1397,447674.1297
중화호반닭갈비,212008.5922,448616.2209
밥먹자돈먹자,212481.6625,448725.9419
부일식당,211241.1948,449506.4773
엄마손 고향맛,211386.5354,450013.0898
직구삼,212537.844,449904.068
충남식당,212005.3366,448190.8987
또순이네집,211046.8208,448614.2515
고모네원조콩탕황태탕,211945.7515,447499.6641
구삼부대찌개,211574.3505,446800.3696
돌깨마을맷돌순두부,210987.3573,448591.1153
장충족발,211423.9179,448530.2919
비타민한식뷔페,212766.1986,447729.8672
전주해장국,211663.0978,449537.5118
강동대명곱창,210704.5273,447393.9188
마포집,211098.8501,448212.154
원조태능갈비,211114.2614,448209.8185
암사한우,211355.2384,450226.3805
신가네해물닭갈비,211035.9134,448574.3668
계림원누릉지통닭구이,211046.8208,448614.2515
파타야,213645.7702,450014.0562
대벌호프,210858.0526,448000.3144
미림분식,213493.9072,450038.8473
민속김밥,213048.6922,450124.1057
상추,211905.7443,447359.749
아우네,213639.0448,449652.1146
일미손칼국수,213326.5274,450879.1057
코끼리한식분식,211960.2813,447864.2945
영춘똥꼬닭발,210967.3396,448238.8509
서울순대국,211990.1149,449336.2892
돌삼겹식당,212688.3412,448837.1891
장미,211345.6723,449717.2532
마포집,212704.3053,449338.4618
청춘식당,212421.2628,448363.9769
치맛살집,212846.6713,448482.4086
빈스테라스,214889.0279,450694.3023
소꼽친구,212828.7919,448263.6182
가마솥밥명품 추어탕,211194.4197,447854.0452
남도1번지,213751.7402,451009.0626
송가네,214945.6382,449305.3855
경이주유소,211454.1183,449162.2732
어매집,212062.5043,447719.9564
아바이순대,212336.8021,448016.9332
투다리,211579.4396,448962.1955
김가네김밥,213418.2737,450771.757
역전할머니맥주 둔촌점,211792.3342,446995.7351
행운식당,212009.6298,447895.3847
뭉텅회식당,211517.806,448941.6589
쭈꾸쭈꾸쭈꾸미,211093.5817,448340.5023
디어마이오븐 샐러드상점,211084.6744,448554.1332
백두감자탕,214996.4847,450682.9393
멕시칸치킨,211773.3312,448904.4224
진미숯불통닭,213030.1848,449881.8689
모리식당,212267.2455,448435.7851
치킨갑,212068.5306,448392.3934
비비큐 암사본점,211259.6405,449885.3782
팡팡양꼬치1호점,210708.3402,448690.8134
고덕칡냉면,214156.7358,450968.6781
옛날소머리국밥집,214145.9947,450968.7323
뚝배기솥뚜껑삼겹살,213680.9932,450050.8988
용해원,211945.3379,447357.5901
북경반점,212684.8438,449490.354
투다리 길1점,212226.1052,448338.7256
마츄피츄,212148.0898,447479.8152
손여사 한정식뷔페,212620.9992,450178.6498
치어스(성내점),210783.437,447382.2568
종가집식당,211280.4715,447051.0035
고덕산장,212984.5708,451104.8145
맛있는불족보쌈,212102.5418,448338.9981
강동일식,213632.1414,450066.9546
옛날손짜장,212898.8096,449740.6149
투다리암사역점,211194.9924,449913.5075
찹쌀 순대 만드는 집,211757.6373,446856.6041
엄박사네흑돼지왕갈비,212105.9783,448486.5638
공수간,211176.0159,448542.6061
피자헛 성내본점,211450.6329,447124.9782
수라냉면,211093.5817,448340.5023
순대국집,211107.0191,448284.1122
별난포차,212130.952,447518.3073
탕화쿵푸 마라탕 천호점,211110.487,448541.1625
곱창중독,211121.7269,448541.8764
털보네분식,212925.7452,449561.9163
하림맥시칸 천호점,212395.3639,449497.5492
다미가,212349.1879,448735.0725
서강추어탕,210748.3828,448677.4184
쏘닭,212603.8665,449873.6257
푸라닭 고덕점,214267.8776,450956.1025
엄가네,212067.7983,448341.0615
전대전,212708.4363,449752.3632
벨치킨,210833.4787,449275.7137
평양만두집,210721.2627,447541.7494
함안조고집,212656.6403,448972.6611
하림맥시칸강동점,211494.449,450351.5311
노랑통닭 길동점,212131.7563,448108.63
마루호프,212765.6855,448702.1661
박대박조개찜,211237.6353,448562.8936
더킹하우스,212183.0154,447847.0129
할머니 추어탕,213685.8924,449652.4364
청해진,211200.3527,446969.8166
별미천국,211851.0819,447242.3958
미스터피자명일점,212667.4884,449804.0593
비슬로우(B.Slow),211397.2106,448776.3966
백화원,212224.9824,447799.4039
동보성,213378.434,450482.3053
놀부식당,212102.5418,448338.9981
윤가네대박갈비,215033.8808,449372.3951
램스토랑,211128.0528,448204.1313
완도세꼬시,212255.441,448416.8429
태능 숯불갈비,211326.6283,450122.3899
다경,212166.3369,448682.8936
메밀촌,211706.6126,447211.7451
갑부곰탕,212279.1887,448131.6381
산속가든,214348.8508,451225.2409
어전,210879.6774,447345.4977
연희네 모밀 앤 칼국수,212394.3932,448506.5779
마시께,210942.7611,448620.9056
남원명가추어탕,212574.0214,449499.8636
선사찌개마을,211288.5133,450308.8671
연탄아저씨,212533.0388,449370.5687
여주순대국감자탕,211950.4456,447549.1355
혜성종합분식,211195.2155,447933.9512
유경생고기식당,211503.8051,448920.7469
큰마루,213620.6833,450050.9095
김복남 맥주,212717.886,449810.398
라운펍,211140.073,448530.6
생활맥주,210825.3806,447358.4069
교촌치킨 성내점,211238.6538,447685.867
투다리,211477.5737,449604.5516
전주전가,212357.7569,449321.746
시골집,211046.8208,448614.2515
청해수사,210671.1328,447565.7943
나주식당,213575.2538,450974.0566
깡통대패,211693.9717,447986.4419
육촌식당,212678.6642,447972.8791
조가네숯불삼겹살,212355.2132,448304.189
사계절 선술집,211650.5644,447971.158
찜당한해물,210684.121,447664.1027
종가집닭한마리,211326.6283,450122.3899
최가네 참숯생고기,214932.9204,450679.7046
올인,212136.5484,448474.1425
함박눈이내릴때,211003.2342,448863.4312
옛맛서울불고기,212378.1585,448473.1755
빈궁,212828.3161,450633.4246
짱구식당,211350.7518,447823.1327
천호양푼탕,211242.7761,448583.7048
(암사골)엄나무닭옻닭 본가,212100.8535,450410.906
우리콩손두부,212065.1979,448156.6512
노가리&꼬치,211792.9494,446975.4894
그랑카페,211303.7193,450341.5928
자매식당,212506.4893,447603.618
우정식당,214985.1995,450682.5851
동북양꼬치,211792.9494,446975.4894
봉추찜닭 천호로데오점,211170.541,448520.2131
투다리,211693.9717,447986.4419
인디안숯불바베큐,212580.711,449527.2573
서역기행,211241.3541,448484.0268
카페 쁠레쟝,211156.2368,448427.4288
명일곱창,212682.8577,449760.5774
다솜식품,211252.7355,448823.3988
