name,lat,lon
제주깜돈,37.5288594,127.124063
무아지돈,37.5484078,127.127140
상일포차,37.5484054,127.172087
피자헛 암사점,37.5545249,127.135853
수줍은 삼계탕,37.5492337,127.172542
쏘자토스트,37.5258028,127.134489
와요,37.5361289,127.125603
성내갈비,37.5278790,127.130974
동네닭발,37.5335681,127.127431
모아분식,37.5353957,127.144462
페리카나치킨,37.5380026,127.141978
아이스베리,37.5386142,127.126953
성내각,37.5312335,127.128378
중화호반닭갈비,37.5397117,127.136641
밥먹자돈먹자,37.5406875,127.141995
부일식당,37.5477401,127.127976
엄마손 고향맛,37.5522974,127.129624
직구삼,37.5513004,127.142648
충남식당,37.5358735,127.136600
또순이네집,37.5397056,127.125756
고모네원조콩탕황태탕,37.5296484,127.135910
구삼부대찌개,37.5233552,127.131702
돌깨마을맷돌순두부,37.5394991,127.125088
장충족발,37.5389442,127.130020
비타민한식뷔페,37.5317098,127.145202
전주해장국,37.5480142,127.132752
강동대명곱창,37.5287085,127.121868
마포집,37.5360830,127.126338
원조태능갈비,37.5360558,127.126519
암사한우,37.5542259,127.129277
계림원누릉지통닭구이,37.5397056,127.125756
파타야,37.5522759,127.155189
대벌호프,37.5342117,127.123699
미림분식,37.5525033,127.153469
민속김밥,37.5532846,127.148435
상추,37.5283875,127.135455
아우네 포장마차,37.5490234,127.155114
일미손칼국수,37.5600831,127.151595
코끼리한식분식,37.5329550,127.135995
영춘똥꼬닭발,37.5363188,127.124856
서울순대국,37.5462080,127.136517
돌삼겹식당,37.5416938,127.144339
장미,37.5496400,127.129156
마포집,37.5462076,127.144528
치맛살집,37.5384931,127.146120
빈스테라스,37.5583924,127.169281
소꼽친구,37.5365202,127.145913
가마솥밥명품 추어탕,37.5328473,127.127419
남도1번지,37.5612391,127.156407
송가네,37.5458768,127.169886
경이주유소,37.5446381,127.130381
어매집,37.5316291,127.137237
아바이순대,37.5343013,127.140455
투다리,37.5428346,127.131792
김가네김밥,37.5591087,127.152634
역전할머니맥주 둔촌점,37.5251094,127.134171
행운식당,37.5332155,127.136640
뭉텅회식당,37.5426461,127.131090
쭈꾸쭈꾸쭈꾸미,37.5372364,127.126284
디어마이오븐 샐러드상점,37.5391646,127.126185
백두감자탕,37.5582826,127.170492
멕시칸치킨,37.5425085,127.141149
모리식당,37.5380775,127.139568
치킨갑,37.5376927,127.137316
비비큐 암사본점,37.5511547,127.128185
팡팡양꼬치1호점,37.5403944,127.121933
고덕칡냉면,37.5608726,127.160990
옛날소머리국밥집,37.5608728,127.160866
뚝배기솥뚜껑삼겹살,37.5525188,127.155472
용해원,37.5283418,127.136032
북경반점,37.5475682,127.144406
투다리 길1점,37.5372041,127.139103
마츄피츄,37.5294656,127.138206
치어스(성내점),37.5286085,127.122762
종가집식당,37.5256113,127.128380
고덕산장,37.5620970,127.147807
맛있는불족보쌈,37.5372057,127.137700
강동일식,37.5527536,127.155043
옛날손짜장,37.5498269,127.146731
투다리암사역점,37.5514077,127.127461
찹쌀 순대 만드는 집,37.5238574,127.133773
엄박사네흑돼지왕갈비,37.5385391,127.137748
공수간,37.5390554,127.127226
피자헛 성내본점,37.5263480,127.130338
수라냉면,37.5372364,127.126284
