주소,위도,경도
서울특별시 강동구 구천면로41길 72,37.5463126,127.1336285
서울특별시 강동구 풍성로 128,37.5318631,127.1274564
서울특별시 강동구 명일로 104,37.55213,127.14981
서울특별시 강동구 구천면로47길 82,37.5497155,127.1354986
서울특별시 강동구 고덕로 101,37.5543004,127.1430187
서울특별시 강동구 상일로5길 31,37.5499728,127.1725978
서울특별시 강동구 천중로 207,37.5454113,127.1309432
서울특별시 강동구 아리수로97길 20,37.5668453,127.1777735
서울특별시 강동구 고덕로 256,37.5543004,127.1430187
서울특별시 강동구 양재대로138길 47,37.5495645,127.1458456
서울특별시 강동구 양재대로 1319,37.5312359,127.138644
서울특별시 강동구 동남로73길 26,37.5528802,127.1552384
서울특별시 강동구 풍성로 150,37.5318631,127.1274564
서울특별시 강동구 고덕로61길 35,37.55703,127.15258
서울특별시 강동구 성안로 199,37.53206,127.13276
서울특별시 강동구 고덕로 140,37.5543004,127.1430187
서울특별시 강동구 양재대로 1339,37.5312359,127.138644
서울특별시 강동구 동남로71길 32,37.55232055,127.1541935
서울특별시 강동구 고덕로 256,37.5543004,127.1430187
서울특별시 강동구 명일로 250,37.55213,127.14981
서울특별시 강동구 고덕로38길 64,37.5527288,127.1426658
서울특별시 강동구 동남로71길 20,37.5517534,127.1543327
서울특별시 강동구 양재대로89가길 69,37.5244081,127.1341549
서울특별시 강동구 풍성로37길 39,37.5335382,127.1270236
서울특별시 강동구 동남로85길 48,37.5611198,127.1540498
서울특별시 강동구 구천면로13길 26,37.5432492,127.122979
서울특별시 강동구 구천면로 508-1,37.5502967,127.140397
서울특별시 강동구 양재대로89길 36,37.5273921,127.1324983
서울특별시 강동구 천중로39길 40,37.5422462,127.1384492
서울특별시 강동구 천호대로199길 19,37.5365261,127.1482178
서울특별시 강동구 상암로5길 83,37.5525546,127.1278186
서울특별시 강동구 고덕로27길 19,37.5571286,127.1379827
서울특별시 강동구 천호대로199길 19,37.5365261,127.1482178
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
