경도,위도
127.1186603,37.52987017
127.1265737,37.55269074
127.1232769,37.53867976
127.1238549,37.53916748
127.1236547,37.53143524
127.1284794,37.55235809
127.1232904,37.53886005
127.1206976,37.53714957
127.1186102,37.5307344
127.12286,37.53824789
127.1314158,37.52543719
127.1234164,37.53725012
127.1238527,37.53834982
127.1252907,37.54672397
127.1399469,37.5513105
127.1236227,37.53707232
127.123284,37.53875373
127.1259527,37.54990604
127.1427187,37.54059323
127.1264449,37.55364736
127.1229681,37.54628583
127.1344913,37.53739263
127.1332109,37.53312843
127.1232696,37.53860093
127.1395352,37.53033596
127.1195506,37.52938116
127.1308335,37.52289815
127.1266026,37.52668864
127.122091,37.5350446
127.1436958,37.54982944
127.12286,37.53824789
127.1253777,37.54026652
127.1315625,37.52563744
127.1407574,37.55163879
127.1411163,37.53428665
127.1204473,37.52852357
127.1186971,37.53095374
127.1398362,37.55185619
127.1385435,37.53835612
127.1362303,37.53721988
127.1316937,37.52524005
127.1190664,37.52962267
127.1318687,37.53473202
127.1311718,37.53403006
127.1406152,37.55181315
127.1256084,37.54022055
127.1407979,37.5520173
127.124662,37.53972826
127.125739,37.54004013
127.1417731,37.5505989
127.120248,37.53053009
127.1301529,37.52306234
127.1321132,37.52599395
127.1303516,37.52341751
127.1434534,37.53749958
127.1234484,37.53916156
127.1348507,37.53536958
127.1365189,37.53728263
127.1407346,37.55142452
127.1363557,37.53718789
127.1344391,37.537243
127.1220329,37.54372117
127.1233975,37.53701869
127.1399847,37.5516874
127.1205223,37.52833669
127.1364161,37.5343685
127.140369,37.55109559
127.1596096,37.5607048
127.142126,37.54686782
127.1339206,37.5358134
127.1314158,37.52543719
127.1367876,37.5412965
127.1316326,37.5260114
127.1224019,37.54196274
127.13373,37.53589086
127.1217927,37.52863379
127.1348092,37.55032047
127.1233856,37.53712477
127.1218588,37.52880829
127.1259302,37.54937676
127.1407979,37.5520173
127.1393416,37.53140026
127.1393416,37.53140026
127.1314158,37.52543719
127.1320006,37.5256278
127.1350273,37.53750416
127.1190469,37.52991057
127.1223067,37.53945453
127.1231233,37.53610105
127.1252706,37.53970867
127.1388282,37.54074829
127.1255868,37.52823227
127.1267025,37.54249811
127.1672431,37.56172783
127.1499983,37.55924172
127.1414226,37.55002448
127.1407725,37.55180296
127.1234645,37.55041937
127.1427187,37.54059323
127.1325896,37.52925949
127.1187247,37.52913273
127.1527377,37.54792542
127.1259084,37.55540976
127.1232851,37.53707448
127.1434076,37.55067063
127.1189913,37.52901404
127.1696913,37.55075432
127.1410473,37.54618829
127.1236109,37.53698675
127.1309305,37.54580059
127.13373,37.53589086
127.1252169,37.54004956
127.140309,37.55183267
127.1352062,37.53575783
127.1387361,37.53419658
127.1393133,37.5463764
127.16413,37.55780076
127.1258993,37.55444963
127.1253875,37.5399399
127.1535378,37.56161593
127.1399805,37.53594673
127.1699102,37.54948099
127.1308003,37.52361419
127.1224703,37.52747583
127.1398738,37.55222878
127.1231764,37.53996627
127.1231465,37.53919248
127.1233113,37.53909661
127.1336882,37.53954781
127.1572486,37.56276429
127.1325896,37.52925949
127.13542,37.53580183
127.1318172,37.52631014
127.1212214,37.52863668
127.1400007,37.55185208
127.1401559,37.55184143
127.1186272,37.52889103
127.1252922,37.53979606
127.1235568,37.53932173
127.122908,37.55063558
127.1203675,37.52840469
127.1234102,37.53933874
127.1412401,37.53410739
127.1309875,37.52837585
127.1504793,37.548875
127.1598183,37.56087115
127.1698604,37.54974816
127.1458509,37.53626017
127.1188581,37.52997149
127.1390159,37.53139614
127.1404852,37.55203615
127.1184293,37.52897841
127.1308335,37.52289815
127.1262859,37.55390472
127.142447,37.54058769
127.1337256,37.55544244
127.1320173,37.52905145
127.145069,37.54011063
127.1297616,37.527236
127.1328682,37.52919025
127.1363386,37.53816774
127.1219073,37.53563286
127.1325896,37.52925949
127.1313076,37.52494284
127.1416479,37.53388964
127.1337207,37.53528715
127.1679318,37.54678143
127.1395838,37.55224223
127.1232473,37.53941471
127.1404615,37.55182257
127.1350308,37.53530987
127.1413826,37.54065632
127.1211986,37.52887758
127.1242707,37.54842409
127.1677241,37.54645371
127.1329804,37.55454292
127.1696784,37.54924546
127.1316236,37.52581476
127.122729,37.53613969
127.128108,37.52789192
127.125022,37.53295013
127.1415922,37.5354086
127.1391105,37.53801971
127.1240803,37.53862814
127.1255057,37.53124392
127.1337737,37.53972293
127.1391283,37.54070525
127.1251043,37.54775366
127.1267568,37.55231641
127.139784,37.55131928
127.13373,37.53589086
127.1228914,37.53971713
127.1330446,37.52966366
127.1288319,37.52336778
127.1222182,37.53950938
127.1271569,37.5389561
127.1423306,37.53172684
127.1298791,37.54802807
127.1190007,37.52872605
127.1234741,37.53609365
127.1236484,37.53607242
127.1264059,37.55423852
127.1227674,37.53935791
127.1228914,37.53971713
127.152324,37.55229461
127.1207465,37.53418784
127.1506058,37.5525202
127.1455689,37.55329474
127.1325898,37.52840355
127.1522412,37.54903366
127.1487268,37.56009324
127.1332149,37.53294876
127.1219865,37.53633575
127.1335763,37.54621091
127.1414688,37.54170477
127.1262898,37.54965146
127.141658,37.54622097
127.1384388,37.5374448
127.1432541,37.53850606
127.1664073,37.55840438
127.143048,37.53653503
127.1245499,37.53286597
127.1535418,37.56125792
127.1670198,37.54588951
127.1275084,37.54464982
127.1343691,37.53164697
127.1374774,37.53431909
127.1289234,37.54284558
127.1497632,37.55912472
127.1313009,37.52512526
127.1337737,37.53322825
127.1282256,37.54266131
127.1234164,37.53725012
127.1233188,37.53917502
127.1676232,37.55830027
127.1311164,37.54232261
127.1453552,37.55111248
127.1366973,37.53809383
127.1344483,37.53770548
127.1253188,37.55116729
127.1190627,37.54041092
127.1581248,37.56088796
127.1580032,37.56088861
127.1527233,37.55262604
127.1330377,37.52838359
127.1414404,37.54758977
127.1362303,37.53721988
127.1353334,37.5294822
127.1407297,37.5537921
127.1198933,37.52862006
127.1255113,37.52562959
127.1448606,37.5621317
127.1348322,37.53722395
127.1521707,37.55277142
127.143866,37.54984164
127.1245876,37.55142152
127.1309062,37.52387214
127.1348735,37.53855346
127.1243521,37.53907007
127.1274374,37.52629401
127.1234164,37.53725012
127.1235676,37.53674189
127.1351402,37.52982923
127.1236107,37.53905785
127.1237379,37.53906415
127.1441677,37.54823121
127.1381648,37.54765851
127.1376295,37.54078929
127.1195155,37.54028977
127.1405306,37.55104411
127.1593824,37.56077295
127.1344391,37.537243
127.1417119,37.54995012
127.1204872,37.54567936
127.1191922,37.5300578
127.1411124,37.5429258
127.1279833,37.5553644
127.135159,37.53514798
127.1423416,37.54048717
127.1250497,37.53925211
127.1357346,37.53279016
127.1527713,37.54903587
127.1246037,37.52489907
127.1319695,37.52734691
127.1412494,37.55041645
127.1268585,37.54117381
127.1362086,37.53236065
127.1493071,37.55651737
127.1348322,37.53722395
127.1680197,37.54649183
127.1238044,37.53602102
127.1365635,37.53792332
127.1260805,37.55330193
127.1355597,37.54032158
127.1303346,37.52707258
127.1368274,37.53535334
127.1603041,37.56319659
127.1209815,37.52828774
127.1381372,37.53872998
127.1217141,37.53977832
127.1401865,37.54767696
127.125652,37.55498253
127.1397206,37.54651258
127.1330985,37.53010933
127.1245602,37.53358591
127.1280669,37.54247307
127.1520407,37.55262702
127.1418198,37.55047287
127.1239453,37.53896233
127.1203675,37.52840469
127.1250478,37.53135017
127.1277807,37.54863441
127.1377363,37.54607505
127.1228914,37.53971713
127.1186254,37.53027502
127.1515436,37.56094512
127.1302039,37.5340527
127.1413444,37.53391756
127.1376905,37.536907
127.1297125,37.53391554
127.1187738,37.53116062
127.1260805,37.55330193
127.1669038,37.55827215
127.1352192,37.53844115
127.1224019,37.54196274
127.1379529,37.53842924
127.1430838,37.55788672
127.1263182,37.53258556
127.1251081,37.53943956
127.1348471,37.55589164
127.1344067,37.53558151
127.1313076,37.52494284
127.1258246,37.5552772
127.1393902,37.53059289
127.1674955,37.55829726
127.1313076,37.52494284
127.1242899,37.53886838
127.1302039,37.5340527
127.1402627,37.54792368
127.1250905,37.53854148
127.1241266,37.53803257
127.1414226,37.55002448
127.1252245,37.54159906
127.1273251,37.54261115
127.1312415,37.54264316
127.1232851,37.53707448
127.1273115,37.52360939
127.1234741,37.53609365
127.1389952,37.54516146
127.1351494,37.53002283
127.1323112,37.52763452
127.1374489,37.5373532
127.1546006,37.5606835
127.1389952,37.54516146
127.1284925,37.53663749
127.1412848,37.54288486
127.1212953,37.53047061
127.1231233,37.53610105
127.126442,37.55237142
127.1216204,37.52845312
127.1209816,37.5312632
127.1376508,37.53744984
127.1396146,37.55249026
127.1216503,37.52755586
127.1412463,37.54868389
127.1404889,37.53354638
127.1290584,37.53460585
127.1522656,37.55414148
127.1349954,37.53571372
127.1230967,37.54845799
127.1462858,37.53176354
127.1362828,37.54139597
127.1506058,37.5525202
127.1231233,37.53610105
127.1222583,37.52853076
127.1385829,37.54697716
127.1526893,37.55417425
127.1248118,37.53921998
127.1346374,37.54245163
127.137024,37.53702288
127.1290994,37.54442829
127.1369122,37.53808025
127.1499983,37.55924172
127.1592389,37.56064499
127.1233023,37.53755145
127.1240123,37.53850135
127.1348735,37.53855346
