name,lat,lon
흡연구역,37.5932607,127.052846
흡연구역,37.5941949,127.059142
흡연구역,37.5658338,127.054672
흡연구역,37.5638684,127.057353
흡연구역,37.5643914,127.056606
흡연구역,37.5673079,127.061962
흡연구역,37.5856059,127.044066
흡연구역,37.5948505,127.042633
흡연구역,37.5935621,127.042621
흡연구역,37.5780148,127.030001
흡연구역,37.5767993,127.026107
흡연구역,37.5766822,127.025824
흡연구역,37.5766913,127.025518
흡연구역,37.5765022,127.025042
흡연구역,37.5754302,127.024046
흡연구역,37.5785086,127.036488
흡연구역,37.5784272,127.037518
흡연구역,37.5691690,127.069344
흡연구역,37.5663950,127.067542
흡연구역,37.5737321,127.040233
흡연구역,37.6004191,127.062238
흡연구역,37.6042665,127.061800
흡연구역,37.5646023,127.067053
흡연구역,37.5710688,127.027010
흡연구역,37.5729524,127.024713
흡연구역,37.5737635,127.023672
흡연구역,37.5742137,127.024962
흡연구역,37.5713393,127.026093
흡연구역,37.5710688,127.027010
흡연구역,37.5754302,127.024046
흡연구역,37.5757905,127.024465
흡연구역,37.5724188,127.074045
흡연구역,37.6040773,127.061788
흡연구역,37.5719869,127.072958
흡연구역,37.5753510,127.048384
흡연구역,37.5916040,127.050320
흡연구역,37.5789801,127.070417
흡연구역,37.5904800,127.044714
흡연구역,37.5856397,127.068181
흡연구역,37.5684955,127.065212
흡연구역,37.5653592,127.066850
흡연구역,37.5984732,127.061874
흡연구역,37.5891759,127.059976
흡연구역,37.5795810,127.075037
흡연구역,37.5788827,127.067496
흡연구역,37.5620546,127.063135
흡연구역,37.5620998,127.062762
흡연구역,37.5622987,127.061358
흡연구역,37.5627594,127.058971
흡연구역,37.5713393,127.026093
흡연구역,37.5757905,127.024465
흡연구역,37.5754302,127.024046
흡연구역,37.5721527,127.047726
흡연구역,37.5653946,127.067926
흡연구역,37.5710419,127.071247
흡연구역,37.5686228,127.063163
흡연구역,37.5837902,127.072437
흡연구역,37.5782127,127.031213
흡연구역,37.5632062,127.066101
흡연구역,37.5614758,127.067096
흡연구역,37.5827135,127.044653
흡연구역,37.5615290,127.068556
흡연구역,37.5921392,127.040763
흡연구역,37.5776365,127.029197
흡연구역,37.5743990,127.039724
흡연구역,37.5672205,127.073315
흡연구역,37.5640077,127.066815
흡연구역,37.5747185,127.023593
흡연구역,37.5773639,127.037971
흡연구역,37.5665244,127.061407
흡연구역,37.5782581,127.072488
흡연구역,37.5970635,127.051410
흡연구역,37.5754650,127.072587
흡연구역,37.5727639,127.069325
흡연구역,37.5893178,127.064426
흡연구역,37.5753294,127.031517
흡연구역,37.5893667,127.056806
흡연구역,37.5893488,127.056613
흡연구역,37.5622626,127.061630
흡연구역,37.5623530,127.060985
흡연구역,37.5757665,127.065331
흡연구역,37.5646297,127.066340
흡연구역,37.5622416,127.067153
흡연구역,37.5809647,127.046973
흡연구역,37.5617287,127.065919
흡연구역,37.5617019,127.065568
흡연구역,37.4736814,126.982820
흡연구역,37.4973133,127.027245
흡연구역,37.4814584,126.996928
흡연구역,37.4777449,126.982966
흡연구역,37.4956103,127.027697
흡연구역,37.4939884,127.028330
흡연구역,37.4592872,127.040626
흡연구역,37.4842320,126.982399
흡연구역,37.4946928,126.983154
흡연구역,37.4788261,126.983056
흡연구역,37.4848961,127.032883
흡연구역,37.4837249,127.032566
흡연구역,37.4886290,126.982861
흡연구역,37.4828953,127.035008
흡연구역,37.4812371,127.036296
흡연구역,37.5055601,127.007105
흡연구역,37.5043439,127.003599
흡연구역,37.5049926,127.004821
흡연구역,37.4832914,127.036229
흡연구역,37.4848492,127.039090
흡연구역,37.4819830,127.042345
흡연구역,37.4805058,127.040965
흡연구역,37.4779475,127.039177
흡연구역,37.4769925,127.039143
흡연구역,37.4757851,127.039142
흡연구역,37.4782452,127.038035
흡연구역,37.4768306,127.038136
흡연구역,37.4755520,127.035253
흡연구역,37.4759125,127.034971
흡연구역,37.4772637,127.036102
흡연구역,37.4789751,127.037798
흡연구역,37.4744693,127.040272
흡연구역,37.4765763,127.044275
흡연구역,37.4736465,127.048321
흡연구역,37.4715643,127.050456
흡연구역,37.4711508,127.047890
흡연구역,37.4696372,127.047798
흡연구역,37.4700800,127.044294
흡연구역,37.4675660,127.044892
흡연구역,37.4667920,127.042416
흡연구역,37.4671706,127.042009
흡연구역,37.4678195,127.041309
흡연구역,37.4685857,127.040484
흡연구역,37.4724965,127.039129
흡연구역,37.4732679,127.048693
흡연구역,37.4762604,127.045586
흡연구역,37.4687381,127.042564
흡연구역,37.4707215,127.039241
흡연구역,37.4681626,127.039308
흡연구역,37.4664067,127.035814
흡연구역,37.6305523,127.024924
흡연구역,37.6406179,127.014106
흡연구역,37.6372821,127.027328
흡연구역,37.6333962,127.037500
흡연구역,37.6252067,127.036272
흡연구역,37.6340641,127.033671
흡연구역,37.6297324,127.025252
흡연구역,37.6202824,127.017603
흡연구역,37.6141982,127.030502
흡연구역,37.6435378,127.003773
흡연구역,37.4841955,126.932492
흡연구역,37.4905249,126.925035
흡연구역,37.4782404,126.951502
흡연구역,37.4762603,126.956919
흡연구역,37.4676777,126.944987
흡연구역,37.4853874,126.956653
흡연구역,37.4837615,126.930005
흡연구역,37.5407245,127.069567
흡연구역,37.5372388,127.082078
흡연구역,37.5405362,127.068073
흡연구역,37.5363544,127.084102
흡연구역,37.5584353,127.087499
흡연구역,37.5385592,127.087816
흡연구역,37.5409414,127.068447
흡연구역,37.5387775,127.071115
흡연구역,37.5552080,127.111341
흡연구역,37.5387775,127.071115
흡연구역,37.5586681,127.076578
흡연구역,37.5565304,127.080118
흡연구역,37.5460421,127.066562
흡연구역,37.5473210,127.067434
흡연구역,37.5405477,127.063457
흡연구역,37.5502364,127.087320
흡연구역,37.5425241,127.073699
흡연구역,37.5506778,127.074103
흡연구역,37.5428057,127.083815
흡연구역,37.5448157,127.082821
흡연구역,37.5354612,127.085866
흡연구역,37.5372510,127.090122
흡연구역,37.5385274,127.081887
흡연구역,37.5468450,127.092239
흡연구역,37.5465259,127.071315
흡연구역,37.5490402,127.096394
흡연구역,37.5293671,127.077510
흡연구역,37.5506778,127.074103
흡연구역,37.5425241,127.073699
흡연구역,37.5651135,127.085005
흡연구역,37.5407728,127.063717
흡연구역,37.5378396,127.072529
흡연구역,37.5387775,127.071115
흡연구역,37.5406051,127.098579
흡연구역,37.5388787,127.067370
흡연구역,37.5356969,127.095834
흡연구역,37.5369503,127.094591
흡연구역,37.5356969,127.095834
흡연구역,37.5369503,127.094591
흡연구역,37.5339687,127.093637
흡연구역,37.6101648,126.934981
흡연구역,37.6392025,126.919161
흡연구역,37.6180858,126.922639
흡연구역,37.6129702,126.925555
흡연구역,37.6130709,126.928126
흡연구역,37.6176687,126.932754
흡연구역,37.6392231,126.938082
흡연구역,37.6055955,126.906741
흡연구역,37.5998850,126.921175
흡연구역,37.5938501,126.923684
흡연구역,37.6045922,126.902744
흡연구역,37.6281627,126.928610
흡연구역,37.6026560,126.928861
흡연구역,37.6338363,126.911769
흡연구역,37.5826841,126.907494
흡연구역,37.6097018,126.928979
흡연구역,37.6543697,126.940200
흡연구역,37.6066071,127.092889
흡연구역,37.5857409,127.079447
흡연구역,37.6130637,127.097280
흡연구역,37.5835561,127.085875
흡연구역,37.5991694,127.098610
흡연구역,37.5995132,127.096832
흡연구역,37.5926105,127.073034
흡연구역,37.6073648,127.079175
흡연구역,37.5917099,127.072342
흡연구역,37.5936646,127.086713
흡연구역,37.5859712,127.097053
흡연구역,37.5980767,127.090342
흡연구역,37.5992793,127.096492
흡연구역,37.5170340,126.866460
흡연구역,37.5159859,126.863916
흡연구역,37.5167268,126.865646
흡연구역,37.5215994,126.864155
흡연구역,37.5203267,126.870017
흡연구역,37.5190649,126.869714
흡연구역,37.5235608,126.827816
흡연구역,37.5364714,126.886247
흡연구역,37.5284734,126.863645
흡연구역,37.5118736,126.833136
흡연구역,37.5268373,126.875017
흡연구역,37.5269416,126.871487
흡연구역,37.5177124,126.853608
흡연구역,37.5122396,126.850599
흡연구역,37.5281626,126.875795
흡연구역,37.5291513,126.873531
흡연구역,37.5294370,126.871098
흡연구역,37.5427176,126.863132
흡연구역,37.5076617,126.836493
흡연구역,37.5274463,126.871622
흡연구역,37.5367107,126.882196
흡연구역,37.5616779,127.037046
흡연구역,37.5610558,127.038416
흡연구역,37.5446685,127.056965
흡연구역,37.5791447,126.936571
흡연구역,37.5732069,126.936066
흡연구역,37.5618314,126.966738
흡연구역,37.5607620,126.932195
흡연구역,37.5648497,126.966861
흡연구역,37.5635795,126.967529
흡연구역,37.5620019,126.964508
흡연구역,37.5638314,126.966216
흡연구역,37.5637563,126.937546
흡연구역,37.5631365,126.962459
흡연구역,37.5860052,126.944264
흡연구역,37.5844807,126.925029
흡연구역,37.5805607,126.923924
흡연구역,37.5572383,126.947964
