,주소,lat,lon
100,서울특별시 서초구 동작대로 86,37.47676,126.9817839
101,서울특별시 서초구 동작대로 204,37.47676,126.9817839
102,서울특별시 서초구 방배천로 24,37.4821835,126.9826886
103,서울특별시 서초구 남부순환로 2583,37.4766578,126.9817796
104,서울특별시 서초구 남부순환로 2584,37.4836087,127.0327736
105,서울특별시 서초구 동작대로 134,37.47676,126.9817839
106,서울특별시 서초구 강남대로 213,37.5025214,127.0252759
107,서울특별시 서초구 강남대로 193,37.5025214,127.0252759
108,서울특별시 서초구 신반포로 194,37.5063008,127.0046841
109,서울특별시 서초구 신반포로 176,37.50500645,127.0042355
110,서울특별시 서초구 신반포로 188,37.5063008,127.0046841
111,서울특별시 서초구 남부순환로350길 36,37.4830673,127.036737
112,서울특별시 서초구 강남대로30길 7,37.4819891,127.0384304
113,서울특별시 서초구 남부순환로 2636,37.4766578,126.9817796
114,서울특별시 서초구 논현로31길 9,37.4810347,127.0412746
115,서울특별시 서초구 바우뫼로 201,37.4764841,127.0354042
116,서울특별시 서초구 강남대로 148,37.5025214,127.0252759
117,서울특별시 서초구 양재천로21길 29,37.4771186,127.0393355
118,서울특별시 서초구 양재천로21길 3,37.4771186,127.0393355
119,서울특별시 서초구 강남대로27길 7-21,37.4787579,127.0354001
120,서울특별시 서초구 양재천로19길 34,37.4759052,127.0380161
121,서울특별시 서초구 바우뫼로 128,37.4764841,127.0354042
122,서울특별시 서초구 바우뫼로21길 10,37.47590585,127.0350364
123,서울특별시 서초구 바우뫼로27길 13,37.476745,127.0357698
124,서울특별시 서초구 강남대로27길 7-9,37.4787579,127.0354001
125,서울특별시 서초구 양재천동자전거길 447,37.4754089,127.0414176
126,서울특별시 서초구 마방로10길 25,37.4757432,127.0439536
127,서울특별시 서초구 논현로 31,37.4725035,127.049771
128,서울특별시 서초구 논현로1길 23,37.4710493,127.0495632
129,서울특별시 서초구 동산로16길 34,37.470546,127.048842
130,서울특별시 서초구 논현로1길 83,37.4710493,127.0495632
131,서울특별시 서초구 강남대로8길 77,37.4679231,127.0420988
132,서울특별시 서초구 강남대로6길 60-23,37.4673091,127.0426325
133,서울특별시 서초구 강남대로4길 5,37.4667982,127.0426656
134,서울특별시 서초구 강남대로6길 16,37.4673091,127.0426325
135,서울특별시 서초구 강남대로8길 3,37.4699865,127.0445818
136,서울특별시 서초구 강남대로10길 21,37.4698957,127.0426606
137,서울특별시 서초구 마방로2길 26,37.4736078,127.0403251
138,서울특별시 서초구 논현로 27,37.4768608,127.0452789
139,서울특별시 서초구 논현로 71,37.4768608,127.0452789
140,서울특별시 서초구 동산로2길 27,37.4684196,127.0428268
141,서울특별시 서초구 강남대로16길 4,37.4708352,127.0394242
142,서울특별시 서초구 강남대로 27,37.5025214,127.0252759
143,서울특별시 서초구 매헌로16길 32,37.4669891,127.035465
144,서울특별시 강북구 도봉로 242,37.6128299,127.030129
145,서울특별시 강북구 삼각산로 089,37.6401397,127.015299
146,서울특별시 강북구 오패산로 406,37.6124385,127.0343007
147,서울특별시 강북구 한천로 913,37.62518,127.04868
148,서울특별시 강북구 오현로 145,37.61655,127.03387
149,서울특별시 강북구 덕릉로40길 74,37.6341114,127.0308234
150,서울특별시 강북구 도봉로 238,37.6128299,127.030129
151,서울특별시 강북구 솔샘로 223,37.6201628,127.0143537
152,서울특별시 강북구 도봉로 62,37.6128299,127.030129
153,서울특별시 강북구 한천로 1289,37.62518,127.04868
154,서울특별시 관악구 남부순환로 1636,37.48431925,126.9326925
155,서울특별시 관악구 봉천로 209,37.4821788,126.950987
156,서울특별시 관악구 관악로 145,37.4887611,126.9571146
157,서울특별시 관악구 남부순환로234길 73,37.47618505,126.9564137
158,서울특별시 관악구 신림로3길 35,37.4675466,126.9448919
159,서울특별시 관악구 관악로 242,37.4887611,126.9571146
160,서울특별시 관악구 신림로 330,37.48377515,126.9301443
161,서울특별시 광진구 아차산로 235,37.5385253,127.0772548
162,서울특별시 광진구 아차산로 353,37.5385253,127.0772548
163,서울특별시 광진구 아차산로 224,37.5385253,127.0772548
164,서울특별시 광진구 아차산로 370,37.5385253,127.0772548
165,서울특별시 광진구 용마산로 53,37.5587957,127.0871826
166,서울특별시 광진구 자양로18길 79,37.5381339,127.0865345
167,서울특별시 광진구 아차산로 225,37.5385253,127.0772548
168,서울특별시 광진구 능동로 90,37.53833375,127.0709051
169,서울특별시 광진구 워커힐로 177,37.5539212,127.1092327
170,서울특별시 광진구 워커힐로 178,37.5494922,127.0995628
171,서울특별시 광진구 능동로 90,37.53833375,127.0709051
172,서울특별시 광진구 천호대로 521,37.5596114,127.0742879
173,서울특별시 광진구 천호대로 560,37.5596114,127.0742879
174,서울특별시 광진구 동일로 156,37.5376142,127.062348
175,서울특별시 광진구 동일로 172,37.5376142,127.062348
176,서울특별시 광진구 동일로 90,37.5376142,127.062348
177,서울특별시 광진구 천호대로 664,37.5596114,127.0742879
178,서울특별시 광진구 능동로 120,37.5423693,127.0755882
179,서울특별시 광진구 능동로 209,37.5490878,127.0735579
180,서울특별시 광진구 자양로 167,37.5293264,127.0876854
181,서울특별시 광진구 광나루로 480,37.5448355,127.082865
182,서울특별시 광진구 자양로 76,37.5355226,127.0858919
183,서울특별시 광진구 강변역로 2,37.53682595,127.0899189
184,서울특별시 광진구 자양1동777,37.53586495,127.0801715
185,서울특별시 광진구 천호대로 716-10,37.5596114,127.0742879
186,서울특별시 광진구 능동로17길39,37.5467536,127.0714156
187,서울특별시 광진구 천호대로 731,37.5596114,127.0742879
188,서울특별시 광진구 뚝섬로 52길,37.5300311,127.079217
189,서울특별시 광진구 능동로 209,37.5490878,127.0735579
190,서울특별시 광진구 능동로 120,37.5423693,127.0755882
191,서울특별시 광진구 용마산로 127,37.5587957,127.0871826
192,서울특별시 광진구 동일로 92-1,37.5376142,127.062348
193,서울특별시 광진구 아차산로 272,37.538418,127.0732388
194,서울특별시 광진구 능동로 92,37.53895605,127.0714259
195,서울특별시 광진구 광나루로 635,37.5477876,127.0721372
196,서울특별시 광진구 아차산로30길 39,37.5398529,127.0675276
197,서울특별시 광진구 광나루로 56길,37.5349372,127.0957088
198,서울특별시 광진구 광나루로 56길,37.53781,127.09669
199,서울특별시 광진구 아산산로 200,37.54113335,127.0660892
200,서울특별시 광진구 아산산로 201,37.5385253,127.0772548
201,서울특별시 광진구 아산산로 202,37.5385253,127.0772548
202,서울특별시 광진구 광나루로 56길,37.5349372,127.0957088
203,서울특별시 광진구 광나루로 56길,37.53781,127.09669
204,서울특별시 광진구 광나루로 56길,37.53781,127.09669
205,서울특별시 광진구 광나루로 56길,37.53781,127.09669
206,서울특별시 광진구 광나루로 56길,37.53781,127.09669
207,서울특별시 광진구 광나루로 56길,37.53781,127.09669
208,서울특별시 광진구 광나루로 56길,37.53781,127.09669
209,서울특별시 광진구 광나루로 56길,37.53781,127.09669
210,서울특별시 광진구 강변역로 50,37.5346195,127.0941531
211,서울특별시 은평구 진흥로 235,37.602948,126.9220204
212,서울특별시 은평구 통일로 1050,37.6367996,126.9179631
213,서울특별시 은평구 통일로 834,37.6272026,126.9202638
214,서울특별시 은평구 통일로 71길,37.6124832,126.9265826
215,서울특별시 은평구 통일로 760,37.6272026,126.9202638
216,서울특별시 은평구 불광로 121,37.6199901,126.931273
217,서울특별시 은평구 연서로 48길,37.6383665,126.9384009
218,서울특별시 은평구 갈현로 11길,37.6051764,126.9075044
219,서울특별시 은평구 은평로 8길,37.5980594,126.9196216
220,서울특별시 은평구 백련산로 90,37.5999132,126.926471
